Id,Timestep,Fitness,EvaluationTime
33,8409,0,75
48,8420,0,115
45,8442,0,1031
39,8443,0,52
4,8451,0,81
22,8481,0,433
11,8483,0,82
37,8485,0,1019
13,8490,1.1811,254
33,8514,0,53
32,8552,0,274
39,8570,0,75
4,8584,0,81
16,8596,0,2012
22,8598,0,65
43,8609,0,325
19,8614,0,2767
37,8685,0,148
24,8686,1.5748,254
2,8697,0,241
4,8717,0,81
7,8726,0,602
45,8737,0,243
44,8740,0,1090
13,8796,0,254
8,8813,0,542
20,8814,0,1819
41,8833,0,1618
4,8841,1.38889,72
33,8854,0,288
0,8862,0,1540
10,8865,0,638
11,8868,0,333
45,8871,0,82
31,8877,0,504
49,8884,0,1220
29,8939,0,1941
4,8974,1.23457,81
11,8979,0,59
20,8988,0,122
5,9022,0.628931,795
43,9023,0,362
49,9045,0,109
21,9067,0,1342
44,9078,0,286
24,9089,0,351
12,9089,1.5674,638
11,9090,0,59
10,9097,0,180
35,9105,0,2951
18,9117,0,2667
48,9131,0,659
20,9162,0,122
5,9169,0,95
38,9175,0.774443,1033
26,9188,0,1350
16,9190,0,542
23,9206,0.146199,2052
36,9209,0,819
25,9222,0,2997
31,9292,0,363
48,9298,0,115
20,9336,0,122
3,9352,0.0350877,2850
16,9367,0,125
6,9377,0,965
32,9399,1.25786,795
12,9399,0,258
26,9419,0,179
49,9430,0,333
43,9436,1.10803,361
8,9472,0,607
24,9492,0,351
3,9499,0,95
7,9502,0.966851,724
32,9511,0,60
36,9515,0,254
20,9553,0,165
4,9568,0,542
13,9569,0,721
16,9592,0,173
25,9633,0,359
36,9671,0,104
22,9681,0,1031
19,9685,0,1019
33,9697,0,791
4,9701,0,81
12,9709,0,258
27,9729,0,1342
34,9732,0.103377,2902
44,9737,0.164745,607
3,9764,0,213
19,9810,0,73
2,9812,0,1063
16,9816,0,172
4,9821,0,68
34,9846,0,62
31,9848,0,504
43,9849,0,361
47,9863,0,1941
15,9866,0,2999
12,9871,0,110
8,9877,0,353
24,9897,0,353
10,9904,0,755
3,9911,0,95
32,9923,0,360
18,9925,0,756
1,9931,0,1502
19,9943,0,81
16,9948,0,80
34,9960,0,62
31,9968,1.47059,68
0,9969,0,1055
9,9971,0,1797
39,9980,0,1358
30,9995,0,2420
48,10009,0,659
47,10019,0,104
43,10026,0,125
19,10054,0,59
39,10084,0,52
32,10086,0,111
27,10099,0,318
3,10111,0,148
24,10121,0,172
47,10136,0,65
23,10138,0,880
9,10141,0,118
14,10171,0,1763
12,10181,0,258
34,10227,0,215
21,10234,0,1115
4,10235,0,362
36,10255,0,532
11,10257,0,1115
3,10258,0,95
38,10260,0,1033
49,10277,0,795
9,10311,0,118
28,10314,0,2294
30,10327,0,280
14,10332,0,109
33,10337,0,588
34,10341,0,62
21,10361,0,75
40,10369,0.241963,2893
6,10394,0,965
36,10411,0,104
7,10425,0,871
43,10439,0,361
34,10455,0,62
19,10466,0,360
27,10511,0,360
6,10514,0,68
3,10523,0,213
26,10534,0,1063
28,10546,0,180
4,10558,0,271
36,10567,0,104
39,10568,0,432
1,10571,0,588
22,10572,0,839
49,10582,0,253
34,10602,1.05263,95
43,10616,0,125
26,10639,0,53
14,10652,0,268
0,10659,0,638
27,10667,0,104
3,10670,0,95
5,10692,0,1471
28,10693,0,95
39,10695,0,75
22,10696,0,72
49,10702,0,68
30,10784,0,405
20,10798,0,1193
39,10799,0,52
42,10809,0,2721
27,10814,0,95
46,10819,0,2679
4,10823,0,213
14,10829,0,125
48,10832,1.16732,771
45,10849,0,1926
12,10871,0,638
37,10876,0.607761,2139
13,10878,0,1257
15,10902,0.101626,984
29,10932,0,1941
32,10933,0,795
1,10961,0,338
35,10967,0,1810
48,10999,0,115
16,11018,0,1018
12,11028,0,105
13,11041,0,111
26,11044,0,353
44,11046,0,1257
24,11053,0,880
17,11060,0,2607
47,11068,0,880
18,11092,0,1115
28,11105,0,360
22,11110,0,362
30,11116,0,280
19,11156,0,638
49,11159,0,405
38,11181,0,869
36,11207,0,588
41,11233,0,2348
4,11235,0,360
16,11242,0,172
26,11261,0,165
18,11267,0,123
7,11268,0,791
11,11329,0,1020
32,11345,0,360
13,11347,0,254
4,11359,0,72
33,11373,0,984
19,11380,0,172
26,11413,0,100
18,11434,0,115
28,11443,0,286
11,11463,0,82
16,11467,0,173
47,11481,0,361
4,11483,0,72
25,11502,0,1817
20,11509,0,659
26,11533,0,68
11,11574,0,59
7,11574,0,254
33,11605,0,180
41,11646,0,361
4,11657,0,122
13,11685,0.699301,286
43,11690,0,1022
33,11732,0,75
34,11740,0,1086
22,11750,0,588
15,11752,0,798
19,11780,0,348
43,11814,0,72
48,11822,0,771
6,11823,0,1257
13,11848,0,111
31,11850,0,1830
42,11892,0,1031
19,11905,0,73
39,11911,0,1060
43,11922,0,56
26,11945,0,360
21,11953,0,1540
6,11970,0,95
49,12006,0,795
13,12011,0,111
22,12017,0,215
39,12045,0,82
41,12046,0,348
30,12048,0,880
24,12090,0.304569,985
43,12099,0,125
22,12121,0,52
39,12165,0,68
30,12179,0,79
5,12215,0,1471
4,12219,0,510
23,12242,0,2052
0,12251,0,1540
38,12266,0,1033
35,12276,0,1257
10,12304,0,2348
9,12338,0,1975
4,12343,0,72
7,12350,0,724
31,12412,0,510
38,12422,0,104
22,12427,0,254
10,12428,0,72
17,12437,0,1325
49,12463,0,405
39,12471,0,254
25,12484,0,930
24,12493,0.854701,351
4,12495,0,100
43,12512,0,361
48,12512,0,638
1,12515,0,1502
28,12526,0,1031
10,12552,0,72
44,12569,0,1471
17,12577,0,88
15,12599,0,795
6,12610,0,588
4,12619,0,72
20,12621,0,1060
46,12634,0,1763
9,12653,0,263
16,12661,0,1142
27,12663,0,1797
1,12671,0,104
11,12686,0,1060
8,12696,0,2767
10,12727,0,123
0,12735,0,432
4,12743,0,72
2,12793,0,2929
20,12795,0,122
11,12797,0,59
12,12823,0,1743
6,12834,0,172
8,12870,0,122
18,12885,0,1399
49,12920,0,405
29,12925,0,1941
47,12932,0,1399
9,12990,0,285
33,13004,0,1220
42,13004,0,1060
1,13009,0,286
36,13016,0,1757
7,13040,0,638
26,13060,0,1063
5,13062,0,795
37,13067,0,2139
21,13120,0,1115
33,13124,0,68
42,13135,0,79
32,13142,0,1745
29,13150,0,173
30,13215,0.304878,984
28,13216,0.783699,638
17,13217,0,588
47,13224,0,240
49,13252,0,280
23,13265,0,971
7,13272,0,180
8,13284,1.10497,362
18,13297,0,360
35,13305,0,977
40,13314,0.414794,2893
46,13336,0,650
30,13362,0,95
17,13364,0,95
28,13448,0,180
33,13464,0,288
26,13472,0,360
32,13480,0,286
30,13496,0,82
40,13522,0,156
24,13530,0,985
27,13534,0,819
43,13548,0,984
3,13572,0,2850
37,13602,0,483
44,13605,0,984
32,13609,0,77
28,13609,0,109
49,13625,0,321
9,13658,0,616
27,13668,0,82
45,13677,0,2776
14,13680,0,2799
3,13719,0,95
40,13730,0,156
28,13776,0,115
19,13776,0,1819
37,13802,0,148
41,13843,0,1745
42,13846,0.758725,659
25,13849,0.761615,1313
6,13851,0,965
40,13882,0,100
26,13884,0,360
30,13886,0,338
19,13953,0,125
5,13971,0,857
27,13973,0,253
45,13982,0,253
49,13998,0,321
0,14007,0,1220
28,14008,0,180
10,14013,0,1234
26,14047,0,111
46,14047,0,659
7,14048,0,724
4,14059,0,1264
14,14083,0,351
36,14088,0,1020
22,14111,0.0612745,1632
29,14126,0.21645,924
10,14130,0,65
28,14140,0,80
26,14152,0,53
35,14152,0,795
47,14156,0,880
4,14192,0,81
36,14244,0,104
10,14254,0,72
46,14255,0,156
12,14258,0.433839,1383
31,14261,0,1797
21,14287,0,1115
28,14287,0,95
23,14288,0,971
47,14312,0,104
11,14320,0,1471
38,14381,0,1907
8,14386,0,1050
31,14401,0,88
16,14410,0,1697
12,14415,3.80952,105
49,14455,0,405
47,14468,0,104
38,14495,0,62
8,14513,0,75
25,14517,0,616
3,14527,1.19048,756
16,14536,0,74
32,14541,0,880
47,14585,0,65
9,14590,0,880
28,14625,0,286
44,14642,0,985
20,14666,0,1819
34,14694,0.034459,2902
15,14703,0.0974659,2052
47,14741,0,104
18,14748,0,1399
2,14771,0,1926
20,14786,0,68
28,14788,0,111
12,14817,0,350
34,14826,1.25,80
27,14844,0,819
6,14874,0,971
5,14880,0,857
36,14884,0,588
30,14922,0,984
8,14925,0,360
16,14939,0,351
46,14940,0,633
20,14943,0,105
34,14958,2.5,80
13,14965,0.034459,2902
7,14971,0.229621,871
23,14978,0,638
27,15014,0,118
18,15053,1.18577,253
10,15062,0,756
45,15065,0,1031
46,15067,0,75
9,15074,0,432
23,15086,0,56
31,15088,0,635
29,15102,0.649351,924
30,15116,0,142
20,15117,0,122
28,15126,0,286
12,15152,2.12014,283
2,15185,0,362
10,15186,0,72
36,15190,1.5748,254
46,15217,0,98
48,15225,0,2661
31,15228,0,88
32,15231,0,638
9,15244,0,118
42,15245,0,1347
33,15252,0,1736
45,15259,0,142
20,15267,0,98
26,15267,0,1063
49,15302,0,795
10,15310,0,72
46,15321,0,52
8,15330,0,353
31,15348,0,68
42,15376,0,79
9,15394,0,98
1,15409,0,2348
39,15410,0,2887
34,15415,0,405
22,15424,0.634417,1261
20,15441,0,122
12,15444,0,240
21,15454,0,1115
28,15464,0,286
31,15468,0,68
